pl_name,hostname,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_tranmid,st_teff
TOI-4504 d,TOI-4504,2024,40.5634,13.6,450.23572136,,5315.0
TOI-2580 b,TOI-2580,2024,3.39775,17.37392009,200.23189641,2458839.4534,6120.0
TOI-5799 b,TOI-5799,2024,4.164507,1.733,3.65,2460255.4185,3452.0
TOI-880.02,TOI-880,2024,2.57571,2.19,5.43,2459400.6128,5050.0
TOI-6054.01,TOI-6054,2024,7.501428,2.64,12.5,2458817.909,6047.0
TOI-6054.02,TOI-6054,2024,12.563636,2.82,9.3,2458826.8929,6047.0
TOI-871 b,TOI-871,2024,14.362565,1.664,3.41,2458417.0523,4929.0
TOI-1301.01,TOI-1301,2024,6.096407209,2.477,6.7,2459710.2944,4820.0
TOI-1739 b,TOI-1739,2024,8.303341406,1.946,4.45,2459631.82035,4814.0
TOI-663 b,TOI-663,2024,2.598902,2.27,4.45,2458544.38918,3681.0
TOI-663 d,TOI-663,2024,7.1027268,1.92,5.2,2458547.11249,3681.0
TOI-1386 b,TOI-1386,2024,25.8401,6.2163865,45.8,2458752.321,5735.0
TOI-260 b,TOI-260,2024,13.475853,1.71,4.23,2458392.2942,4026.0
TOI-1782.01,TOI-1782,2024,4.987641028,2.368,6.2,2459635.7331,4336.0
TOI-1173 b,TOI-1173,2024,7.06466,9.19,27.4,2458702.8444,5350.0
TOI-1443 b,TOI-1443,2024,23.540678,2.30381001,30.0,2458693.25,5224.0
TOI-1824 b,TOI-1824,2024,22.808533,2.7438269,16.0,2458879.5467,5165.0
TOI-1269 b,TOI-1269,2024,4.2529913,2.40144286,6.4,2458686.60586,5499.0
TOI-1836 b,TOI-1836,2024,20.380799,8.00321222,38.45723725,2459646.49351,6380.0
GJ 238 b,GJ 238,2024,1.7446999,0.566,0.126,2458326.98222,3485.0
TOI-2368 b,TOI-2368,2024,5.1750073,10.83908434,206.58846455,2459752.59549,5360.0
Barnard b,Barnard's star,2024,3.1542,0.72,0.299,2460139.204,3195.0
TOI-5005 b,TOI-5005,2024,6.3085044,6.25,32.7,2460090.0356,5749.0
Kepler-158 d,Kepler-158,2024,0.645088,0.43,0.0472,2454833.052,4895.97
TIC 393818343 b,TIC 393818343,2024,16.24921,12.18416202,1379.37528638,2459811.2402,5756.0
TOI-1386 c,TOI-1386,2024,232.0,10.3,75.2,2458750.9,5735.0
HS Psc b,HS Psc,2024,3.986,13.6,464.02947422,2458486.422,4203.0
2MASS J11011926-7732383 b,2MASS J11011926-7732383,2024,,11.9,8899.195396,,
HIP 77900 b,HIP 77900,2024,,12.1,6674.396547,,13646.0
UCAC4 328-061594 b,UCAC4 328-061594,2024,,12.1,6674.396547,,
TOI-1450 A c,TOI-1450 A,2024,5.0688,1.13,1.527,2459321.76,3437.0
TOI-4527.01,TOI-4527,2024,0.3994445,0.9086617,0.689,2459474.200243,3702.0
UCAC3 113-933 b,UCAC3 113-933,2024,,12.1,6674.396547,,3864.0
HD 48948 b,HD 48948,2024,7.34013,2.06,4.88,,4593.0
HD 48948 d,HD 48948,2024,151.92,3.24,10.59,,4593.0
TIC 241249530 b,TIC 241249530,2024,165.7719,13.29385111,1582.78546686,2458860.8007,6166.0
TOI-1294 c,TOI-1294,2024,159.9,14.3,147.0,2459194.4,5718.0
TOI-4914 b,TOI-4914,2024,10.60057,12.87,227.0,2459317.2727,5805.0
TOI-2120 b,TOI-2120,2024,5.7998164,2.122,6.8,2458795.82368,3131.0
TOI-2295 b,TOI-2295,2024,30.033302,16.47720163,278.09985612,2458713.4551,5730.0
TOI-2447 b,TOI-2447,2024,69.33684,9.60609646,124.90656395,2459168.98798,5730.0
TOI-6130 b,TOI-6130,2024,2.392679,14.3474953,333.71982735,2459849.63919,6110.0
NGTS-33 b,NGTS-33,2024,2.827972,18.38272835,1153.71711741,2459986.409,7437.0
TOI-5720 b,TOI-5720,2024,1.4344555,1.09,4.3,2460076.902501,3325.0
TOI-2458 b,TOI-2458,2024,3.73659,2.83,13.31,2459177.4046,6005.0
TOI-2768 b,TOI-2768,2024,1.50801,2.63,7.41,2459225.6442,4008.0
NGTS-27 b,NGTS-27,2024,3.3704181,15.64773706,188.47224535,2458540.6573,5700.0
KMT-2023-BLG-0735L b,KMT-2023-BLG-0735L,2024,,6.97,38.77506565,,
KMT-2023-BLG-1431L b,KMT-2023-BLG-1431L,2024,,3.76,13.6,,
KMT-2023-BLG-1866L b,KMT-2023-BLG-1866L,2024,,1.43,2.63,,
KMT-2022-BLG-2286L b,KMT-2022-BLG-2286L,2024,,12.1,6038.739733,,
TOI-4336 A b,TOI-4336 A,2024,16.336334,2.12,5.14,2459335.57319,3298.0
TOI-1472 b,TOI-1472,2024,6.36381,4.15964583,16.5,2458765.6074,5133.0
TOI-1716.01,TOI-1716,2024,8.082376554,3.143,10.0,2459959.2213,5879.0
TOI-2107 b,TOI-2107,2024,2.4545467,13.57407563,263.79757781,2459228.98176,5627.0
TOI-1855 b,TOI-1855,2024,1.36414864,18.49481816,360.09958513,2459243.19743,5359.0
TOI-329 b,TOI-329,2024,5.70439,4.94057819,40.4,2459090.7955,5614.0
TOI-782 b,TOI-782,2024,8.0240015,2.734,19.1,2458577.04189,3370.0
TOI-3321 b,TOI-3321,2024,3.6525145,15.55806521,176.07693748,2458940.81751,5850.0
TOI-3894 b,TOI-3894,2024,4.33454,15.27784069,260.61929374,2459250.50777,6000.0
TOI-480 b,TOI-480,2024,6.866196,2.85372018,20.8,2458469.5659,6174.0
MOA-2022-BLG-563L b,MOA-2022-BLG-563L,2024,,14.0,127.1313628,,
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,2024,,13.8,301.93698665,,
TOI-6651 b,TOI-6651,2024,5.056973,5.09,61.0,2459857.7116,5940.0
TOI-1467 b,TOI-1467,2024,5.97114713,1.92,9.0,2458766.9885,3834.0
Gaia22dkvL b,Gaia22dkvL,2024,,14.1,187.83658854,,
TOI-1408 c,TOI-1408,2024,2.1664,2.22,7.6,2458739.847,6117.0
TOI-1437 b,TOI-1437,2024,18.840942,2.24,9.6,2459360.1652,6008.0
TOI-1630.01,TOI-1630,2024,12.055734733,2.417,6.42,2459931.22472,5504.0
TOI-1723 b,TOI-1723,2024,13.727012643,3.435,10.4,2459593.95996,5777.0
TOI-2420 b,TOI-2420,2024,5.842641,15.02003414,294.62693329,2458388.4119,5707.0
TOI-1744.01,TOI-1744,2024,22.341702927,2.68,7.65,2459908.3844,6179.0
TOI-2485 b,TOI-2485,2024,11.23479,12.1393261,766.60211768,2458939.7856,6016.4
TOI-1768.01,TOI-1768,2024,7.337703649,3.453,11.8,2459627.0224,5994.0
TOI-1782.02,TOI-1782,2024,1.829024227,1.839,4.04,2459632.81673,4336.0
TOI-4379 b,TOI-4379,2024,3.25352,16.69017226,353.74301699,2459734.269,6020.0
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,2024,,4.08,15.6,,
TOI-5726.01,TOI-5726,2024,5.491125215,2.554,7.05,2458843.5951,5874.0
TIC 4672985 b,TIC 4672985,2024,69.048,11.5004142,4049.13390518,2458429.8577,5757.0
TOI-5218 b,TOI-5218,2024,4.291452,9.86,657.0,2458842.65207,4230.0
TOI-1798.02,TOI-1798,2024,0.437811822,1.464,5.6,2459691.3135,5165.0
TOI-5616 b,TOI-5616,2024,2.002849,10.78,624.0,2458901.48892,3996.0
TOI-3568 b,TOI-3568,2024,4.417965,5.3,26.4,2459799.3834,4969.0
TOI-1799 b,TOI-1799,2024,7.094570865,1.642,4.0,2458904.8176,5690.0
TOI-2211.01,TOI-2211,2024,3.092686757,1.561,3.06,2459038.1032,5253.0
